offer_date,ipo_name,cik,offer_price,assets_thous,total_proceeds_thous,headquarter,industry,sic_code,is_high_tech,Internet,Founding,vc_backed,first_day_price,vwretd,roll_vwretd,first_day_return,rf_fact_t07,rf_fact_t08,rf_fact_t09
2016-09-29,Fulgent Genetics Inc,1674930,9,26778,37800,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2011,FALSE,9.18,-0.009216,-0.0129252547797205,0.02000000000000000,0.502970297029703,0.5062761506276150,0.5091863517060370
2017-09-20,Celcuity LLC,1603454,9.5,11686.95,22800,MN,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2012,TRUE,14.29,9.19E-04,0.0272382271948994,0.5042105263157890,0.4757834757834760,0.4702380952380950,0.4601449275362320
2018-10-04,Guardant Health Inc,1576280,19,362847,237500,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2011,TRUE,32.2,-0.00931,0.00577744648832379,0.6947368421052630,0.515695067264574,0.5161290322580650,0.5080213903743320
2019-06-20,Personalis Inc,1527753,17,57647,134665.5,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2011,TRUE,28.49,0.008794,0.0463332899106488,0.6758823529411760,0.4710648148148150,0.47297297297297300,0.4841149773071110
2019-07-25,Castle Biosciences Inc,1447362,16,30965.63,64000,TX,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2007,TRUE,21.4,-0.006384,0.010434541061862,0.3375000000000000,0.4858247422680410,0.4855570839064650,0.4764227642276420
2019-09-19,Exagen Inc,1274737,14,33088,50400,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2002,TRUE,18.58,-1.45E-04,0.0494284565295866,0.327142857142857,0.5,0.4993446920052430,0.4889589905362780
2019-11-07,Centogene BV,1757097,14,85995.35,56000,OVERSEAS,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2006,TRUE,12.49,0.002842,0.0293069600152913,-0.10785714285714300,0.47983453981385700,0.4808324205914570,0.461133069828722
2020-06-19,Progenity Inc,1580063,15,110951,93000.005,CA,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2010,TRUE,13.12,-0.004599,0.0324891499258539,-0.12533333333333300,0.48380355276907,0.4899328859060400,0.5
2020-10-28,Biodesix Inc,1439725,18,45478,72000,CO,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2005,TRUE,12.81,-0.032808,0.0126342527545162,-0.28833333333333300,0.4723756906077350,0.47470817120622600,0.4780092592592590
2021-07-15,Sera Prognostics Inc,1534969,16,62744,75000,UT,SERVICES-MEDICAL LABORATORIES,8071,FALSE,0,2008,TRUE,11.9,-0.003905,0.0183619093100347,-0.25625,0.462059620596206,0.45937961595273300,0.4588665447897620
